CustomerID,CompanyName,AverageLogins,AverageActiveUsers,AverageSessionMinutes
C1237,"Arun Rao Systems",24.5000,11.5,234.64999999999998
C1345,"Rahul Gupta Group",23.6364,11.727272727272727,264.60909090909087
C1332,"Diya Singh Labs",23.5000,9.5,322.54999999999995
C1284,"Zoya Das Group",23.0000,16,301.8
C1372,"Isha Joshi Group",22.5000,11.333333333333334,234.9
C1393,"Sneha Bose Technologies",22.3333,12.2,259.8466666666667
C1234,"Farhan Singh Industries",21.8500,12.7,258.7
C1335,"Karthik Rao Systems",21.8235,13.235294117647058,227.86470588235292
C1259,"Priya Reddy Systems",21.6667,15.333333333333334,281.93333333333334
C1188,"Tara Rao Industries",21.6111,13.61111111111111,266.9222222222222
C1006,"Sanjay Reddy Labs",21.5000,12.75,194.54999999999998
C1114,"Aadhya Das Industries",21.5000,13.5,355.95
C1290,"Riya Singh Systems",21.4500,13.15,265.62499999999994
C1060,"Aarav Reddy Systems",21.3889,12.444444444444445,243.0388888888889
C1168,"Aditya Joshi Solutions",21.2000,10.933333333333334,263.61333333333334
C1292,"Divya Sharma Technologies",21.1429,13.428571428571429,248.94285714285715
C1187,"Pooja Gupta Group",20.9000,12.2,297.59000000000003
C1376,"Vivaan Khan Systems",20.5263,12.473684210526315,235.3842105263158
C1071,"Arjun Patel Labs",20.5000,10.25,242.325
C1128,"Sneha Rao Industries",20.3125,11.6875,241.38750000000002
C1324,"Karthik Reddy Technologies",20.1739,12.217391304347826,266.83478260869566
C1365,"Diya Joshi Industries",20.1429,11.571428571428571,285.8
C1047,"Rohan Das Technologies",20.0000,10.285714285714286,233.74285714285716
C1201,"Naveen Patel Labs",20.0000,9,337.2
C1264,"Aarav Nair Solutions",20.0000,9.666666666666666,249.16666666666666
C1300,"Krishna Sharma Solutions",20.0000,12.052631578947368,256.1157894736842
C1307,"Rahul Reddy Technologies",19.8750,12.9375,224.73125000000002
C1223,"Vihaan Joshi Industries",19.8000,12.2,266.93999999999994
C1387,"Arun Nair Solutions",19.8000,12,218.82999999999998
C1002,"Tara Sharma Technologies",19.7273,12.181818181818182,274.6454545454545
C1369,"Meera Reddy Industries",19.5000,13.5,193.3
C1407,"Meera Gupta Labs",19.3333,12.333333333333334,237.63333333333333
C1171,"Aditya Khan Industries",19.2857,9.642857142857142,244.5785714285714
C1246,"Aditya Sharma Group",19.2727,13.636363636363637,240.9909090909091
C1344,"Naveen Verma Technologies",19.2353,10.588235294117647,244.58235294117645
C1243,"Aditya Patel Solutions",19.0000,11.23076923076923,288.23076923076917
C1291,"Diya Rao Systems",19.0000,16,279.85
C1361,"Meera Khan Systems",19.0000,7,222.23333333333335
C1178,"Isha Menon Solutions",18.9474,10.789473684210526,250.7947368421053
C1191,"Sai Patel Industries",18.9231,10.076923076923077,249.3384615384615
C1350,"Deepak Gupta Labs",18.8889,11,285.0444444444444
C1134,"Tara Reddy Industries",18.8750,9.666666666666666,246.07499999999996
C1030,"Rohan Bose Solutions",18.8571,11,270.2857142857143
C1059,"Myra Verma Labs",18.8333,11.833333333333334,264.55
C1113,"Riya Iyer Technologies",18.7500,14.5,224.575
C1346,"Krishna Sharma Group",18.6667,15,216.66666666666666
C1057,"Reyansh Joshi Industries",18.5714,9.714285714285714,219.79285714285714
C1347,"Deepak Khan Solutions",18.5714,9.571428571428571,234.08571428571426
C1392,"Ananya Rao Industries",18.5714,11.380952380952381,229.2047619047619
C1051,"Priya Gupta Labs",18.4000,10.4,257.26
C1130,"Nikita Iyer Technologies",18.1000,10.8,261.88
C1144,"Aditya Sharma Technologies",18.0000,10.916666666666666,283.1083333333333
C1202,"Karthik Iyer Labs",18.0000,6,335.6
C1271,"Myra Gupta Industries",18.0000,14,424.2
C1198,"Ananya Sharma Labs",17.9524,8.523809523809524,255.61904761904765
C1280,"Aman Patel Systems",17.7778,9.333333333333334,222.34444444444446
C1207,"Sneha Gupta Technologies",17.7619,8.857142857142858,246.96666666666667
C1072,"Rohan Gupta Technologies",17.5238,10.047619047619047,232.34285714285713
C1177,"Isha Gupta Group",17.5000,11.142857142857142,291.5285714285714
C1266,"Arun Nair Systems",17.5000,9.777777777777779,260.7388888888889
C1211,"Krishna Iyer Solutions",17.3333,8.333333333333334,337.13333333333327
C1127,"Divya Gupta Labs",17.3000,9.1,241.11999999999998
C1109,"Kiara Verma Industries",17.2609,9.478260869565217,237.0608695652174
C1121,"Ishaan Singh Group",17.1905,9.047619047619047,266.49523809523805
C1094,"Isha Nair Solutions",17.1364,9.363636363636363,248.61363636363637
C1416,"Sneha Sharma Systems",17.0833,8.5,255.1624999999999
C1326,"Naveen Sharma Labs",17.0455,9.090909090909092,257.07727272727277
C1164,"Saanvi Menon Systems",17.0000,9.266666666666667,249.80000000000004
C1340,"Zoya Joshi Technologies",16.7000,10.5,254.41000000000003
C1138,"Meera Sharma Labs",16.6667,8.333333333333334,200.43333333333337
C1206,"Zoya Gupta Group",16.6190,9.476190476190476,249.80476190476188
C1313,"Krishna Joshi Solutions",16.5789,9.263157894736842,266.9842105263158
C1019,"Deepak Nair Labs",16.5556,8.11111111111111,274.7
C1100,"Priya Gupta Solutions",16.5000,8.333333333333334,246.26666666666665
C1419,"Diya Nair Industries",16.5000,11,186.45
C1270,"Farhan Menon Group",16.2857,9.857142857142858,253.08571428571432
C1181,"Isha Reddy Labs",16.2500,8.5,181.45
C1288,"Kiara Das Labs",16.2500,9.25,310.475
C1403,"Sai Khan Labs",16.2000,11.6,208.64000000000001
C1373,"Naveen Patel Group",16.1875,9.0625,224.725
C1262,"Arun Joshi Group",16.1111,9.555555555555555,241.51111111111115
C1386,"Naveen Singh Technologies",15.9583,8.416666666666666,270.47499999999997
C1354,"Vivaan Reddy Group",15.7500,7.708333333333333,246.74583333333328
C1024,"Vivaan Verma Solutions",15.6667,7.333333333333333,256.8
C1341,"Isha Singh Group",15.5909,8.363636363636363,263.82272727272726
C1297,"Naveen Sharma Technologies",15.5625,8.0625,243.29999999999998
C1042,"Meera Iyer Industries",15.5500,9.15,259.89500000000004
C1214,"Sneha Sharma Technologies",15.5000,9.5,252.75
C1338,"Aadhya Singh Systems",15.4286,8.80952380952381,194.6428571428571
C1069,"Aadhya Joshi Systems",15.4118,8.294117647058824,267.58235294117645
C1231,"Aditya Patel Group",15.3846,8,250.23076923076923
C1315,"Arjun Das Solutions",15.3333,9,275.4833333333333
C1165,"Arjun Das Solutions",15.3000,9.3,251.83999999999997
C1366,"Kavya Verma Labs",15.2857,8.428571428571429,307.4857142857143
C1096,"Deepak Gupta Labs",15.1000,7.5,254.92
C1367,"Kiara Gupta Industries",15.0000,9.5,197.2
C1102,"Deepak Iyer Solutions",14.9545,8.227272727272727,240.34545454545452
C1368,"Priya Singh Solutions",14.7500,7.75,200.59999999999997
C1268,"Deepak Patel Industries",14.5882,8.529411764705882,294.82941176470587
C1204,"Aman Reddy Systems",14.4783,8.782608695652174,270.2217391304348
C1261,"Reyansh Menon Labs",14.2500,7.75,86.3
C1382,"Sai Singh Systems",14.2500,10.25,206.175
C1145,"Pooja Reddy Solutions",14.2273,7.681818181818182,277.54090909090917
C1371,"Nikita Singh Technologies",14.2000,7.6,226.94666666666672
C1008,"Nikita Gupta Solutions",14.0909,9.454545454545455,262.0272727272727
