CustomerID,TotalMRR,ActiveUsers,SessionMinutes,HighValue,AtRisk,RiskScore
C1001,278.6,4.5,140.0875,No,No,1
C1002,246.76,12.181818181818182,274.6454545454545,No,No,1
C1003,278.6,7.25,295.8875,No,No,1
C1004,80.36,4.2,253.0,No,No,1
C1005,618.76,4.6923076923076925,161.69230769230768,No,No,1
C1006,1618.92,12.75,194.55,Yes,No,1
C1007,658.68,2.909090909090909,262.67727272727274,No,No,1
C1008,818.36,9.454545454545455,262.02727272727276,Yes,No,1
C1009,2098.6,6.444444444444445,276.29999999999995,Yes,No,1
C1010,278.6,5.5,167.43333333333334,No,No,1
C1011,262.68,2.4,260.665,No,No,1
C1012,1978.68,0.7,171.53,Yes,No,1
C1013,1931.28,0.0,242.1,Yes,No,1
C1014,68.6,3.6666666666666665,279.0833333333333,No,No,1
C1015,246.76,2.8333333333333335,263.19166666666666,No,No,1
C1016,978.04,1.25,143.39166666666668,Yes,No,1
C1017,60.76,1.8571428571428572,261.31428571428575,No,No,1
C1018,2098.6,5.3,275.96,Yes,No,1
C1019,326.36,8.11111111111111,274.7,No,No,1
C1020,68.6,4.714285714285714,163.57142857142858,No,No,1
C1021,76.44,7.4,246.51500000000001,No,No,1
C1022,64.68,1.0625,238.99375,No,No,1
C1023,778.44,0.8,272.41999999999996,Yes,No,1
C1024,246.76,7.333333333333333,256.8,No,No,1
C1025,262.68,1.619047619047619,267.2761904761905,No,No,1
C1026,698.6,4.375,150.5125,No,No,1
C1027,778.44,1.6666666666666667,153.11666666666667,Yes,No,1
C1028,294.52,6.473684210526316,158.29999999999998,No,No,1
C1029,698.6,2.9166666666666665,264.81666666666666,No,No,1
C1030,2458.36,11.0,270.2857142857143,Yes,No,1
C1031,294.52,,,No,No,1
C1032,60.76,,,No,No,1
C1033,342.28,6.642857142857143,266.45,No,No,1
C1034,2578.28,,,Yes,No,1
C1035,1978.68,5.105263157894737,284.2421052631579,Yes,No,1
C1036,80.36,6.0,232.74117647058824,No,No,1
C1037,1978.68,2.090909090909091,173.79090909090908,Yes,No,1
C1038,246.76,2.7142857142857144,134.1357142857143,No,No,1
C1039,76.44,1.9090909090909092,244.15454545454543,No,No,1
C1040,326.36,4.545454545454546,231.4181818181818,No,No,1
C1041,437.8,4.3076923076923075,243.34615384615384,No,No,1
C1042,60.76,9.15,259.895,No,No,1
C1043,698.6,5.5,183.34444444444443,No,No,1
C1044,246.76,6.833333333333333,180.86666666666667,No,No,1
C1045,2578.28,4.285714285714286,241.20000000000002,Yes,No,1
C1046,294.52,0.625,165.7875,No,No,1
C1047,80.36,10.285714285714286,233.7428571428571,No,No,1
C1048,658.68,1.6111111111111112,193.27222222222224,No,No,1
C1049,4676.88,6.0,228.63333333333335,Yes,No,1
C1050,1825.3600000000001,4.636363636363637,203.86363636363637,Yes,No,1
C1051,262.68,10.4,257.26,No,No,1
C1052,390.04,7.375,266.4875,No,No,1
C1053,310.44,2.8666666666666667,134.4933333333333,No,No,1
C1054,818.36,4.5,412.45,Yes,No,1
C1055,68.6,3.5555555555555554,145.66111111111113,No,No,1
C1056,658.68,1.0,280.2833333333333,No,No,1
C1057,76.44,9.714285714285714,219.79285714285714,No,No,1
C1058,64.68,4.6,144.8,No,No,1
C1059,658.68,11.833333333333334,264.55,No,No,1
C1060,80.36,12.444444444444445,243.0388888888889,No,No,1
C1061,310.44,8.31578947368421,271.32631578947365,No,No,1
C1062,358.2,0.6666666666666666,146.0,No,No,1
C1063,56.84,2.5,146.06,No,No,1
C1064,68.6,3.9,254.6,No,No,1
C1065,898.2,3.1333333333333333,273.18,Yes,No,1
C1066,88.2,2.6666666666666665,234.61666666666667,No,No,1
C1067,326.36,7.545454545454546,214.62727272727273,No,No,1
C1068,262.68,0.5,312.79999999999995,No,No,1
C1069,80.36,8.294117647058824,267.58235294117645,No,No,1
C1070,64.68,,,No,No,1
