CustomerID,CompanyName,TotalMRR,Logins,ActiveUsers,SessionMinutes,TicketCount,Satisfaction,RiskScore,RiskLevel
C1001,Ishaan Joshi Systems,278.6,9.25,4.5,140.0875,4,6.5,40,Medium
C1002,Tara Sharma Technologies,246.76,19.727272727272727,12.181818181818182,274.6454545454545,4,7.0,20,Low
C1003,Zoya Das Systems,278.6,11.6875,7.25,295.8875,3,3.0,20,Low
C1005,Tara Joshi Systems,618.76,10.23076923076923,4.6923076923076925,161.69230769230768,3,6.0,20,Low
C1006,Sanjay Reddy Labs,1618.92,21.5,12.75,194.55,3,6.0,0,Minimal
C1007,Sai Das Technologies,658.68,5.318181818181818,2.909090909090909,262.67727272727274,2,8.5,20,Low
C1008,Nikita Gupta Solutions,818.36,14.090909090909092,9.454545454545455,262.02727272727276,2,7.5,0,Minimal
C1009,Rohan Patel Technologies,2098.6,12.222222222222221,6.444444444444445,276.29999999999995,4,5.75,20,Low
C1010,Tara Iyer Labs,278.6,13.5,5.5,167.43333333333334,6,5.333333333333333,40,Medium
C1011,Rohan Iyer Solutions,262.68,4.8,2.4,260.665,2,4.5,60,High
C1012,Meera Patel Labs,1978.68,1.4,0.7,171.53,1,5.0,60,High
C1013,Farhan Das Industries,1931.28,0.0,0.0,242.1,1,6.0,40,Medium
C1014,Rahul Patel Industries,68.6,6.166666666666667,3.6666666666666665,279.0833333333333,2,6.0,0,Minimal
C1015,Sanjay Gupta Industries,246.76,5.083333333333333,2.8333333333333335,263.19166666666666,3,5.0,20,Low
C1016,Diya Singh Industries,978.04,3.1666666666666665,1.25,143.39166666666668,4,6.5,80,Critical
C1017,Rahul Reddy Solutions,60.76,3.4285714285714284,1.8571428571428572,261.31428571428575,3,4.0,60,High
C1018,Myra Khan Systems,2098.6,8.7,5.3,275.96,6,4.333333333333333,40,Medium
C1019,Deepak Nair Labs,326.36,16.555555555555557,8.11111111111111,274.7,2,5.5,0,Minimal
C1020,Saanvi Menon Group,68.6,7.857142857142857,4.714285714285714,163.57142857142858,5,5.8,40,Medium
C1021,Vivaan Singh Systems,76.44,13.2,7.4,246.51500000000001,4,4.75,40,Medium
C1022,Rahul Singh Technologies,64.68,2.75,1.0625,238.99375,8,6.125,60,High
C1023,Meera Menon Industries,778.44,2.8,0.8,272.41999999999996,5,5.8,60,High
C1024,Vivaan Verma Solutions,246.76,15.666666666666666,7.333333333333333,256.8,2,5.5,0,Minimal
C1025,Diya Singh Labs,262.68,3.3333333333333335,1.619047619047619,267.2761904761905,4,4.5,80,Critical
C1026,Vivaan Singh Solutions,698.6,7.75,4.375,150.5125,1,4.0,40,Medium
C1027,Vihaan Bose Group,778.44,3.0,1.6666666666666667,153.11666666666667,2,7.0,60,High
C1028,Ananya Gupta Solutions,294.52,10.842105263157896,6.473684210526316,158.29999999999998,4,5.0,40,Medium
C1029,Sai Khan Technologies,698.6,6.75,2.9166666666666665,264.81666666666666,6,6.333333333333333,20,Low
